AC_No,AC_Name,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Share_%,Source_URL,Rank_In_Constituency
1,Valmiki Nagar,SURENDRA PRASAD,Indian National Congress,107374,356,107730,46.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS041.htm,1
1,Valmiki Nagar,DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH,Janata Dal (United),105771,284,106055,45.39,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS041.htm,2
1,Valmiki Nagar,NOTA,None of the Above,6391,9,6400,2.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS041.htm,3
1,Valmiki Nagar,RAMESHWAR YADAV,Bahujan Samaj Party,5294,18,5312,2.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS041.htm,4
1,Valmiki Nagar,MAHMAD JALIL,Independent,2426,0,2426,1.04,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS041.htm,5
1,Valmiki Nagar,RAJESH SHARMA,Lok Samaj Party,2301,2,2303,0.99,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS041.htm,6
1,Valmiki Nagar,SURENDRA RAM,Independent,1850,2,1852,0.79,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS041.htm,7
1,Valmiki Nagar,AZHARUDDIN ANSARI,Independent,1553,1,1554,0.67,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS041.htm,8
2,Ramnagar,NAND KISHOR RAM,Bharatiya Janata Party,114958,256,115214,54.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS042.htm,1
2,Ramnagar,SUBODH KUMAR,Rashtriya Janata Dal,79216,318,79534,37.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS042.htm,2
2,Ramnagar,PAPPU KUMAR RANJAN,Jan Suraaj Party,6933,59,6992,3.28,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS042.htm,3
2,Ramnagar,AADITYA KUMAR,Bahujan Samaj Party,2649,14,2663,1.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS042.htm,4
2,Ramnagar,SANTOSH RAM,Independent,2294,1,2295,1.08,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS042.htm,5
2,Ramnagar,NOTA,None of the Above,2178,6,2184,1.03,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS042.htm,6
2,Ramnagar,ANGAD RAM,Independent,1842,0,1842,0.87,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS042.htm,7
2,Ramnagar,VASHISHTHA PASWAN,Suheldev Bharatiya Samaj Party,1515,2,1517,0.71,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS042.htm,8
2,Ramnagar,LALAN PASWAN,Nationalist Congress Party,613,5,618,0.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS042.htm,9
3,Narkatiaganj,SANJAY KUMAR PANDEY,Bharatiya Janata Party,99815,229,100044,50.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS043.htm,1
3,Narkatiaganj,DEEPAK YADAV,Rashtriya Janata Dal,73355,231,73586,37.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS043.htm,2
3,Narkatiaganj,SHASHWAT KEDAR,Indian National Congress,5259,129,5388,2.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS043.htm,3
3,Narkatiaganj,MD. WASIULLAH,Jan Suraaj Party,4202,36,4238,2.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS043.htm,4
3,Narkatiaganj,ISHTEYAK AHAMAD,Independent,3823,8,3831,1.95,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS043.htm,5
3,Narkatiaganj,MAYA DEVI,Independent,2314,23,2337,1.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS043.htm,6
3,Narkatiaganj,NOTA,None of the Above,2201,2,2203,1.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS043.htm,7
3,Narkatiaganj,DILSHAD AHMAD,Fauji Janta Party,1236,2,1238,0.63,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS043.htm,8
3,Narkatiaganj,RAJENDRA PRASAD YADAV,Independent,1205,0,1205,0.61,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS043.htm,9
3,Narkatiaganj,MD MOTIUR RAHMAN,Bahujan Samaj Party,941,10,951,0.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS043.htm,10
3,Narkatiaganj,SAMEER SUNU,Independent,703,0,703,0.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS043.htm,11
3,Narkatiaganj,DHRUP RAM,Independent,676,0,676,0.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS043.htm,12
3,Narkatiaganj,MOHAMMAD RASHID AZIM,Nationalist Congress Party,289,2,291,0.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS043.htm,13
4,Bagaha,RAM SINGH,Bharatiya Janata Party,106638,237,106875,47.39,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS044.htm,1
4,Bagaha,JAYESH MANGALAM SINGH,Indian National Congress,100165,397,100562,44.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS044.htm,2
4,Bagaha,NANDESH PANDEY URF CHUNNU PANDEY,Jan Suraaj Party,5758,41,5799,2.57,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS044.htm,3
4,Bagaha,DINESH AGRAWAL,Independent,4231,8,4239,1.88,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS044.htm,4
4,Bagaha,NOTA,None of the Above,3253,6,3259,1.45,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS044.htm,5
4,Bagaha,MAHFOOZ ALAM,Aazad Samaj Party (Kanshi Ram),2648,11,2659,1.18,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS044.htm,6
4,Bagaha,RAHUL TIWARI,Right to Recall Party,1110,1,1111,0.49,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS044.htm,7
4,Bagaha,SHAILESH KUMAR CHAUDHARY,Bharat Jan Jagran Dal,1028,0,1028,0.46,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS044.htm,8
5,Lauriya,VINAY BIHARI,Bharatiya Janata Party,96225,285,96510,50.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS045.htm,1
5,Lauriya,RAN KAUSHAL PRATAP SINGH,Vikassheel Insaan Party,69214,330,69544,36.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS045.htm,2
5,Lauriya,SUNIL KUMAR,Jan Suraaj Party,15609,113,15722,8.2,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS045.htm,3
5,Lauriya,PAPPU KUMAR THAKUR,The Plurals Party,4030,5,4035,2.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS045.htm,4
5,Lauriya,MOHAMMAD HAROON,Bahujan Samaj Party,3426,16,3442,1.8,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS045.htm,5
